stage,fold,epoch,train_loss,train_macro_f1,train_balanced_accuracy,train_per_class_recall,val_loss,val_macro_f1,val_balanced_accuracy,val_per_class_recall,test_loss,test_macro_f1,test_balanced_accuracy,test_per_class_recall,lr,epoch_sec,elapsed_min,eta_min,grad_norm_mean,grad_norm_max,prototype_alpha,prototype_initialized_count
stage3,4,1,0.6187411928334252,0.8458398676109086,0.8638131313131312,"{""0"": 0.8863636363636364, ""1"": 0.8888888888888888, ""2"": 0.84, ""3"": 0.84}",0.8420666895414654,0.5745020964360588,0.5790676090526166,"{""0"": 0.8095238095238095, ""1"": 0.7241379310344828, ""2"": 0.782608695652174, ""3"": 0.0}",0.9398894856885537,0.6332442067736185,0.6222846747040296,"{""0"": 0.7037037037037037, ""1"": 0.7096774193548387, ""2"": 0.5757575757575758, ""3"": 0.5}","[6e-06, 5.9999999999999995e-05]",455.7799129486084,7.5963318824768065,752.0368563652039,5.176076829433441,11.367328643798828,0.12392888963222504,4
stage3,4,2,0.6106772475903577,0.8712985306735307,0.8828282828282827,"{""0"": 0.9090909090909091, ""1"": 0.9222222222222223, ""2"": 0.86, ""3"": 0.84}",0.9002434642691362,0.5137058628453738,0.5238809166845149,"{""0"": 0.8571428571428571, ""1"": 0.5862068965517241, ""2"": 0.6521739130434783, ""3"": 0.0}",0.9583287976451755,0.6025311935753361,0.6119121320734224,"{""0"": 0.8518518518518519, ""1"": 0.5806451612903226, ""2"": 0.5151515151515151, ""3"": 0.5}","[1.2e-05, 0.00011999999999999999]",477.5159900188446,15.605709822972615,762.1916540900867,5.71593976020813,12.78760814666748,0.12379270792007446,4
stage3,4,3,0.5999631675163118,0.8596266860785917,0.8870580808080808,"{""0"": 0.9204545454545454, ""1"": 0.8777777777777778, ""2"": 0.83, ""3"": 0.92}",0.8352201110438296,0.5729166666666666,0.5735346612408081,"{""0"": 0.7619047619047619, ""1"": 0.7931034482758621, ""2"": 0.7391304347826086, ""3"": 0.0}",0.9334416881050032,0.6733264320220842,0.6494922341696535,"{""0"": 0.5925925925925926, ""1"": 0.8387096774193549, ""2"": 0.6666666666666666, ""3"": 0.5}","[1.8e-05, 0.00017999999999999998]",471.3376307487488,23.486117414633433,756.9414042803976,5.817078423500061,11.022429466247559,0.12361468374729156,4
stage3,4,4,0.6218955802051934,0.8333810179677432,0.8548611111111111,"{""0"": 0.875, ""1"": 0.8444444444444444, ""2"": 0.86, ""3"": 0.84}",0.9595083500209608,0.5765550239234449,0.5802634397087171,"{""0"": 0.5714285714285714, ""1"": 0.7931034482758621, ""2"": 0.9565217391304348, ""3"": 0.0}",1.0679706003248077,0.5950195227204352,0.5710736396220267,"{""0"": 0.5555555555555556, ""1"": 0.7741935483870968, ""2"": 0.7878787878787878, ""3"": 0.16666666666666666}","[2.4e-05, 0.00023999999999999998]",463.6739168167114,31.239001739025117,747.3229802131652,5.986065912246704,17.56881332397461,0.12338874489068985,4
stage3,4,5,0.6544079656648164,0.8159244546107338,0.8408838383838384,"{""0"": 0.9090909090909091, ""1"": 0.8444444444444444, ""2"": 0.85, ""3"": 0.76}",0.885378266635694,0.5992936117936118,0.6051081602056115,"{""0"": 0.7142857142857143, ""1"": 0.7931034482758621, ""2"": 0.9130434782608695, ""3"": 0.0}",0.9455652556468531,0.6379444382001423,0.6017975453459324,"{""0"": 0.48148148148148145, ""1"": 0.7741935483870968, ""2"": 0.8181818181818182, ""3"": 0.3333333333333333}","[3e-05, 0.0003]",468.8877122402191,39.108018747965495,740.1118015448252,6.074597024917603,10.398823738098145,0.12305564433336258,4
stage3,4,6,0.6231874369158603,0.8672418292304747,0.9084722222222222,"{""0"": 0.875, ""1"": 0.8888888888888888, ""2"": 0.87, ""3"": 1.0}",1.0744770577079372,0.5214453076828216,0.5388734204326409,"{""0"": 0.8571428571428571, ""1"": 0.6896551724137931, ""2"": 0.6086956521739131, ""3"": 0.0}",1.1888509042484243,0.5373376623376623,0.5568317584446616,"{""0"": 0.8148148148148148, ""1"": 0.8064516129032258, ""2"": 0.6060606060606061, ""3"": 0.0}","[2.999179886011389e-05, 0.0002999179886011389]",454.5441961288452,46.73714947303136,728.9541659355164,6.837012076377869,15.425589561462402,0.12270666658878326,4
stage3,4,7,0.7040286573639797,0.7951175343460781,0.8159469696969697,"{""0"": 0.9204545454545454, ""1"": 0.8333333333333334, ""2"": 0.79, ""3"": 0.72}",0.8792242501911364,0.6298894557823129,0.6494788320125652,"{""0"": 0.9047619047619048, ""1"": 0.6206896551724138, ""2"": 0.7391304347826086, ""3"": 0.3333333333333333}",0.9071667575344597,0.6063947436898256,0.6015260128163354,"{""0"": 0.8518518518518519, ""1"": 0.6451612903225806, ""2"": 0.5757575757575758, ""3"": 0.3333333333333333}","[2.9967204408281618e-05, 0.00029967204408281613]",455.59869027137756,54.359144167105356,719.0534251741,inf,inf,0.12242364138364792,4
stage3,4,8,0.7254100919950126,0.7930418957708888,0.8200631313131312,"{""0"": 0.7613636363636364, ""1"": 0.8888888888888888, ""2"": 0.83, ""3"": 0.8}",0.8747629021343432,0.6797008547008547,0.7358999071892625,"{""0"": 0.8571428571428571, ""1"": 0.7241379310344828, ""2"": 0.6956521739130435, ""3"": 0.6666666666666666}",1.026551413781864,0.6218838195768959,0.6654176170305203,"{""0"": 0.7037037037037037, ""1"": 0.8064516129032258, ""2"": 0.48484848484848486, ""3"": 0.6666666666666666}","[2.9926243538175172e-05, 0.0002992624353817517]",450.92357063293457,61.927987015247346,708.8334771295389,9.832065987586976,16.915010452270508,0.12210462242364883,4
stage3,4,9,0.6903194135958606,0.8398938196856793,0.8759090909090909,"{""0"": 0.8636363636363636, ""1"": 0.9, ""2"": 0.82, ""3"": 0.92}",0.8485543351424368,0.573575877945292,0.5737131434282858,"{""0"": 0.6666666666666666, ""1"": 0.7586206896551724, ""2"": 0.8695652173913043, ""3"": 0.0}",0.9261762358478665,0.5886627999566827,0.5834147930922124,"{""0"": 0.5555555555555556, ""1"": 0.8387096774193549, ""2"": 0.6060606060606061, ""3"": 0.3333333333333333}","[2.9868961039904628e-05, 0.00029868961039904624]",461.06954431533813,69.66952236493428,700.9243258056816,7.147698378562927,14.021870613098145,0.12173835933208466,4
stage3,4,10,0.6276241027482665,0.8731843156843156,0.899621212121212,"{""0"": 0.9318181818181818, ""1"": 0.8666666666666667, ""2"": 0.88, ""3"": 0.92}",0.9007305847971063,0.5066553544494721,0.5062647247804669,"{""0"": 0.8571428571428571, ""1"": 0.6896551724137931, ""2"": 0.4782608695652174, ""3"": 0.0}",0.8828947780673037,0.6307664653436871,0.6656348430541978,"{""0"": 0.7407407407407407, ""1"": 0.7096774193548387, ""2"": 0.5454545454545454, ""3"": 0.6666666666666666}","[2.9795419551040836e-05, 0.00029795419551040833]",470.29544854164124,77.53314269781113,694.4439918994904,5.657774758338928,10.007473945617676,0.12140629440546036,4
