level,metric,point_estimate,ci_95_low,ci_95_high,bootstrap_samples_requested,bootstrap_samples_valid,resampling_unit
eye,accuracy,0.7478991596638656,0.7050174781689453,0.7911392405063291,1000,1000,stratified_patient_cluster
eye,macro_roc_auc_ovr,0.8774925141227514,0.8436540863399431,0.9107172653431079,1000,1000,stratified_patient_cluster
eye,macro_f1,0.6985639627806463,0.6472549783910814,0.7500530683846589,1000,1000,stratified_patient_cluster
eye,balanced_accuracy,0.6996361236802413,0.6461783683170034,0.7524363316048616,1000,1000,stratified_patient_cluster
eye,weighted_f1,0.7498580899079389,0.7085798766294696,0.7923632116913648,1000,1000,stratified_patient_cluster
eye,macro_pr_auc_ovr,0.7333001621504711,0.6797276888610178,0.795836651775475,1000,1000,stratified_patient_cluster
eye,top2_accuracy,0.907563025210084,0.8809034907597536,0.93125,1000,1000,stratified_patient_cluster
eye,ece_10,0.03463737892002617,0.02415751039818526,0.08690863615041769,1000,1000,stratified_patient_cluster
eye,brier_multiclass,0.3752838661781258,0.32006631965334403,0.43333547758430596,1000,1000,stratified_patient_cluster
patient,accuracy,0.8,0.7547169811320755,0.8415094339622642,1000,1000,stratified_patient_cluster
patient,macro_roc_auc_ovr,0.8984464343883098,0.8629218012268834,0.9282315912925606,1000,1000,stratified_patient_cluster
patient,macro_f1,0.7645598122079145,0.7084817879522195,0.818037952816743,1000,1000,stratified_patient_cluster
patient,balanced_accuracy,0.760801917989418,0.704472472743306,0.8150250934443642,1000,1000,stratified_patient_cluster
patient,weighted_f1,0.7992986097872811,0.7521943575426447,0.841935589888042,1000,1000,stratified_patient_cluster
patient,macro_pr_auc_ovr,0.7953058720222477,0.7417900330964813,0.8520764859195679,1000,1000,stratified_patient_cluster
patient,top2_accuracy,0.9433962264150944,0.9169811320754717,0.9660377358490566,1000,1000,stratified_patient_cluster
patient,ece_10,0.0682038886525299,0.047261503668949996,0.12238882936717378,1000,1000,stratified_patient_cluster
patient,brier_multiclass,0.3351293461308674,0.2859822278078222,0.3889747126165467,1000,1000,stratified_patient_cluster
