level,fold,n_samples,n_patients,accuracy,macro_roc_auc_ovr,macro_f1,balanced_accuracy,weighted_f1,macro_pr_auc_ovr,top2_accuracy,ece_10,brier_multiclass,mean_confidence,top30_confidence_coverage,top30_confidence_accuracy
eye,0,94,53,0.7127659574468085,0.9085490216302273,0.6600104085349987,0.6539008620689655,0.7094164023009506,0.7671100724244582,0.8829787234042553,0.1257377181281435,0.3617545393291216,0.7799270841035437,0.30851063829787234,0.9310344827586207
patient,0,53,53,0.8301886792452831,0.9296167135841048,0.7813852813852814,0.7767857142857143,0.8236134934248143,0.843236631504402,0.9056603773584906,0.1412567913901272,0.31008872893083145,0.7353070106902072,0.3018867924528302,1.0
eye,1,93,53,0.6881720430107527,0.7767561169777791,0.6312724014336918,0.6170314900153611,0.6903495587158439,0.6397391098587273,0.9139784946236559,0.1175620222604403,0.4590783172589489,0.805734065271193,0.3010752688172043,0.8571428571428571
patient,1,53,53,0.7547169811320755,0.8048088612128366,0.6976267657600674,0.6875,0.7467673313999976,0.7159403172065286,0.9245283018867925,0.09619433113004801,0.40199103199821173,0.7492741461280944,0.3018867924528302,0.875
eye,2,98,53,0.8367346938775511,0.9181838041865873,0.7650982983261465,0.7669600725952813,0.8389406812940783,0.8462456866267959,0.9285714285714286,0.08190916661097075,0.2726241359819607,0.8017043894042775,0.30612244897959184,0.9666666666666667
patient,2,53,53,0.8490566037735849,0.9295930940764532,0.8061788617886179,0.8015055668016194,0.8488602546402821,0.8776940789338702,0.9622641509433962,0.12175604961109612,0.2401745059705034,0.7716468023663422,0.3018867924528302,1.0
eye,3,94,53,0.7978723404255319,0.9094789916101821,0.7562030471498162,0.765729006656426,0.800810955214486,0.7669763202663941,0.8936170212765957,0.08147743344306947,0.33724520040604306,0.7496490884334484,0.30851063829787234,0.896551724137931
patient,3,53,53,0.8113207547169812,0.9247483204720047,0.7899739876793629,0.7880952380952381,0.8119274312775785,0.8364973512546685,0.9245283018867925,0.10596530677153253,0.31999010163716873,0.7170391639097119,0.3018867924528302,0.9375
eye,4,97,53,0.7010309278350515,0.8896548250882929,0.6674619327604402,0.6923536439665471,0.7067679409885902,0.7373754815196811,0.9175257731958762,0.07786904290779348,0.4486360405604951,0.7318874677431952,0.30927835051546393,0.7333333333333333
patient,4,53,53,0.7547169811320755,0.9087227463713696,0.7296857873584217,0.7373074229691876,0.7582093050509786,0.7965552400720414,1.0,0.150918952206958,0.4034023621176216,0.7005582290859718,0.3018867924528302,0.75
