level,class_id,class_name,bin,lower,upper,count,mean_probability,empirical_frequency,calibration_gap
eye,0,RETINORM,0,0.0,0.1,287,0.03174645939916853,0.05226480836236934,0.02051834896320081
eye,0,RETINORM,1,0.1,0.2,36,0.1426926878177457,0.1388888888888889,0.003803798928856794
eye,0,RETINORM,2,0.2,0.30000000000000004,16,0.24373828433454037,0.375,0.13126171566545963
eye,0,RETINORM,3,0.30000000000000004,0.4,21,0.3556426990599859,0.5714285714285714,0.21578587236858549
eye,0,RETINORM,4,0.4,0.5,10,0.46883357167243955,0.7,0.2311664283275604
eye,0,RETINORM,5,0.5,0.6000000000000001,5,0.5413694977760315,0.2,0.3413694977760315
eye,0,RETINORM,6,0.6000000000000001,0.7000000000000001,9,0.6519888639450073,0.5555555555555556,0.09643330838945174
eye,0,RETINORM,7,0.7000000000000001,0.8,12,0.7550412764151891,0.6666666666666666,0.08837460974852251
eye,0,RETINORM,8,0.8,0.9,21,0.8495754429272243,0.9047619047619048,0.055186461834680456
eye,0,RETINORM,9,0.9,1.0,59,0.9493300732919725,0.9830508474576272,0.033720774165654666
eye,1,ORNET,0,0.0,0.1,257,0.029122222488262888,0.038910505836575876,0.009788283348312988
eye,1,ORNET,1,0.1,0.2,30,0.14634573757648464,0.16666666666666666,0.020320929090182016
eye,1,ORNET,2,0.2,0.30000000000000004,24,0.2468507041533788,0.2916666666666667,0.04481596251328787
eye,1,ORNET,3,0.30000000000000004,0.4,17,0.3483841086135191,0.35294117647058826,0.004557067857069164
eye,1,ORNET,4,0.4,0.5,19,0.4607600710893932,0.6842105263157895,0.22345045522639628
eye,1,ORNET,5,0.5,0.6000000000000001,17,0.569832139155444,0.8235294117647058,0.2536972726092619
eye,1,ORNET,6,0.6000000000000001,0.7000000000000001,16,0.6355282925069332,0.75,0.11447170749306679
eye,1,ORNET,7,0.7000000000000001,0.8,31,0.7497771343877239,0.8387096774193549,0.088932543031631
eye,1,ORNET,8,0.8,0.9,34,0.8496329100692973,0.7941176470588235,0.055515263010473825
eye,1,ORNET,9,0.9,1.0,31,0.9237258165113388,0.967741935483871,0.044016118972532214
eye,2,FAMILIPO,0,0.0,0.1,191,0.034072655738706256,0.07329842931937172,0.039225773580665466
eye,2,FAMILIPO,1,0.1,0.2,46,0.1399802518603594,0.13043478260869565,0.009545469251663746
eye,2,FAMILIPO,2,0.2,0.30000000000000004,28,0.25178503883736475,0.21428571428571427,0.037499324551650476
eye,2,FAMILIPO,3,0.30000000000000004,0.4,27,0.3519157259552567,0.2962962962962963,0.05561942965896044
eye,2,FAMILIPO,4,0.4,0.5,22,0.43687389520081604,0.18181818181818182,0.2550557133826342
eye,2,FAMILIPO,5,0.5,0.6000000000000001,23,0.5526099515997845,0.4782608695652174,0.07434908203456714
eye,2,FAMILIPO,6,0.6000000000000001,0.7000000000000001,26,0.65410116314888,0.5384615384615384,0.11563962468734157
eye,2,FAMILIPO,7,0.7000000000000001,0.8,19,0.7681147487539994,0.7368421052631579,0.03127264349084158
eye,2,FAMILIPO,8,0.8,0.9,58,0.8566446006298065,0.7758620689655172,0.08078253166428928
eye,2,FAMILIPO,9,0.9,1.0,36,0.9245977054039637,0.9444444444444444,0.019846739040480732
eye,3,MRCC,0,0.0,0.1,383,0.03645393227873847,0.028720626631853787,0.007733305646884684
eye,3,MRCC,1,0.1,0.2,38,0.14261267569504282,0.07894736842105263,0.0636653072739902
eye,3,MRCC,2,0.2,0.30000000000000004,12,0.24502758433421454,0.16666666666666666,0.07836091766754788
eye,3,MRCC,3,0.30000000000000004,0.4,5,0.33471006751060484,0.2,0.13471006751060483
eye,3,MRCC,4,0.4,0.5,6,0.45035024483998615,0.16666666666666666,0.28368357817331946
eye,3,MRCC,5,0.5,0.6000000000000001,2,0.5216896235942841,0.5,0.021689623594284058
eye,3,MRCC,6,0.6000000000000001,0.7000000000000001,1,0.6242831945419312,0.0,0.6242831945419312
eye,3,MRCC,7,0.7000000000000001,0.8,5,0.7300426840782166,0.4,0.3300426840782166
eye,3,MRCC,8,0.8,0.9,6,0.8463078041871389,0.6666666666666666,0.17964113752047228
eye,3,MRCC,9,0.9,1.0,18,0.9792231288221147,0.5,0.4792231288221147
patient,0,RETINORM,0,0.0,0.1,145,0.03148319266045537,0.013793103448275862,0.01769008921217951
patient,0,RETINORM,1,0.1,0.2,26,0.1436422690749168,0.11538461538461539,0.02825765369030142
patient,0,RETINORM,2,0.2,0.30000000000000004,14,0.24282191640564374,0.2857142857142857,0.04289236930864196
patient,0,RETINORM,3,0.30000000000000004,0.4,10,0.35474396776407957,0.3,0.05474396776407958
patient,0,RETINORM,4,0.4,0.5,13,0.46476249325160796,0.7692307692307693,0.3044682759791613
patient,0,RETINORM,5,0.5,0.6000000000000001,7,0.5562661508364337,0.8571428571428571,0.3008767063064234
patient,0,RETINORM,6,0.6000000000000001,0.7000000000000001,6,0.6464652419090271,0.8333333333333334,0.18686809142430627
patient,0,RETINORM,7,0.7000000000000001,0.8,7,0.7651823439768383,0.8571428571428571,0.09196051316601883
patient,0,RETINORM,8,0.8,0.9,11,0.8495343354615298,0.9090909090909091,0.05955657362937927
patient,0,RETINORM,9,0.9,1.0,26,0.947073444724083,1.0,0.05292655527591705
patient,1,ORNET,0,0.0,0.1,137,0.02860057100073582,0.021897810218978103,0.006702760781757716
patient,1,ORNET,1,0.1,0.2,26,0.1501630632063517,0.0,0.1501630632063517
patient,1,ORNET,2,0.2,0.30000000000000004,10,0.2510790969710797,0.2,0.05107909697107971
patient,1,ORNET,3,0.30000000000000004,0.4,11,0.35706490904770116,0.6363636363636364,0.2792987273159352
patient,1,ORNET,4,0.4,0.5,10,0.448196935839951,0.5,0.051803064160048984
patient,1,ORNET,5,0.5,0.6000000000000001,14,0.5442324520221778,0.8571428571428571,0.31291040512067925
patient,1,ORNET,6,0.6000000000000001,0.7000000000000001,11,0.6453900540416891,1.0,0.35460994595831086
patient,1,ORNET,7,0.7000000000000001,0.8,15,0.7411148508389791,0.6666666666666666,0.07444818417231247
patient,1,ORNET,8,0.8,0.9,21,0.8430889447530111,0.8095238095238095,0.03356513522920157
patient,1,ORNET,9,0.9,1.0,10,0.9207501739263535,1.0,0.0792498260736465
patient,2,FAMILIPO,0,0.0,0.1,96,0.037590508903832594,0.03125,0.006340508903832594
patient,2,FAMILIPO,1,0.1,0.2,28,0.14829266779789965,0.10714285714285714,0.041149810655042515
patient,2,FAMILIPO,2,0.2,0.30000000000000004,21,0.22928545428883457,0.14285714285714285,0.08642831143169172
patient,2,FAMILIPO,3,0.30000000000000004,0.4,21,0.341613558342769,0.19047619047619047,0.15113736786657855
patient,2,FAMILIPO,4,0.4,0.5,23,0.43903421092640516,0.34782608695652173,0.09120812396988343
patient,2,FAMILIPO,5,0.5,0.6000000000000001,10,0.5677002966403961,0.6,0.03229970335960386
patient,2,FAMILIPO,6,0.6000000000000001,0.7000000000000001,13,0.6517816759072818,0.6153846153846154,0.036397060522666336
patient,2,FAMILIPO,7,0.7000000000000001,0.8,11,0.7636054808443243,0.9090909090909091,0.14548542824658472
patient,2,FAMILIPO,8,0.8,0.9,28,0.8518437732543264,0.8214285714285714,0.030415201825754967
patient,2,FAMILIPO,9,0.9,1.0,14,0.9276419090373176,0.9285714285714286,0.000929519534111023
patient,3,MRCC,0,0.0,0.1,200,0.03737127651751502,0.05,0.012628723482484984
patient,3,MRCC,1,0.1,0.2,23,0.13986728963968542,0.13043478260869565,0.009432507030989773
patient,3,MRCC,2,0.2,0.30000000000000004,6,0.22935553352969387,0.16666666666666666,0.06268886686302722
patient,3,MRCC,3,0.30000000000000004,0.4,6,0.3477642262975375,0.16666666666666666,0.18109755963087085
patient,3,MRCC,4,0.4,0.5,7,0.45415932019906385,0.14285714285714285,0.311302177341921
patient,3,MRCC,5,0.5,0.6000000000000001,7,0.5364179112948477,0.2857142857142857,0.25070362558056203
patient,3,MRCC,6,0.6000000000000001,0.7000000000000001,0,,,
patient,3,MRCC,7,0.7000000000000001,0.8,2,0.7383149266242981,1.0,0.2616850733757019
patient,3,MRCC,8,0.8,0.9,3,0.8306719660758972,1.0,0.16932803392410278
patient,3,MRCC,9,0.9,1.0,11,0.9845852039077065,0.8181818181818182,0.1664033857258883
